subte,hospital,metrobus,universidad,escuela publica,escuela privada,centro de salud
356.308225738,406.285138578,2567.73386506,440.45074565,164.950835632,425.705936306,113.835825602
414.912087072,1048.19100857,2554.19529529,817.362307589,277.269857956,214.528503523,509.749065288
679.178844089,1025.98722378,2280.86233936,650.037272727,176.351938296,182.785982733,704.681252289
679.178844089,1025.98722378,2280.86233936,650.037272727,176.351938296,182.785982733,704.681252289
2258.7724333,2206.96689059,2123.05211925,456.358227308,240.845341777,190.899577048,446.928470763
2925.63008999,2839.21892891,2080.74753673,889.18555767,263.597585892,833.295629313,883.366362274
1178.3862436,2811.890765,3986.25894916,1220.8432828,277.997655293,314.897186235,2056.37576904
1178.3862436,2811.890765,3986.25894916,1220.8432828,277.997655293,314.897186235,2056.37576904
1542.23872318,2956.87494027,3955.93494478,1587.75517534,402.634341214,267.356129111,1667.22262061
1542.23872318,2956.87494027,3955.93494478,1587.75517534,402.634341214,267.356129111,1667.22262061
1542.23872318,2956.87494027,3955.93494478,1587.75517534,402.634341214,267.356129111,1667.22262061
3592.14734076,1092.22373604,1217.67000682,3608.96416851,262.286165866,318.397515516,3881.27778197
906.029650474,224.618334481,1382.89225957,314.464904684,333.691586524,132.889009775,289.319152842
364.715052738,800.805270375,2443.08131476,386.783691869,147.18887309,142.84357469,204.29294465
486.208427596,933.254861443,2343.10332091,375.00160527,120.147602074,60.8746775635,153.21733056
486.208427596,933.254861443,2343.10332091,375.00160527,120.147602074,60.8746775635,153.21733056
486.208427596,933.254861443,2343.10332091,375.00160527,120.147602074,60.8746775635,153.21733056
132.196755841,1087.03369184,2062.12037943,328.217330132,189.095538114,188.311114267,454.882789352
306.466939294,1155.99500943,1940.99984601,283.601976468,78.1980458745,49.2821882173,340.696292963
670.055875395,862.219851408,1293.11236339,685.815260243,286.266872188,107.778069078,190.228958752
798.565344275,792.872002296,1729.03349014,635.616252451,244.459612446,50.0750709709,461.112248173
807.902895754,2153.55342666,3261.83075709,851.588445406,293.494298022,257.424596937,1485.33609008
17.1422240282,1107.37526261,2744.77705982,424.719567301,117.658284095,24.7205157308,572.416340198
17.1422240282,1107.37526261,2744.77705982,424.719567301,117.658284095,24.7205157308,572.416340198
265.653895124,1750.56241339,1846.97248177,531.538932082,353.376292967,170.090696162,234.097300274
398.232333416,1054.48032061,779.507962704,796.883005497,340.510108278,330.305118591,775.387308914
398.232333416,1054.48032061,779.507962704,796.883005497,340.510108278,330.305118591,775.387308914
712.579092146,1638.64604739,152.508433005,1409.28386804,263.709264849,197.977156066,1382.32720677
712.579092146,1638.64604739,152.508433005,1409.28386804,263.709264849,197.977156066,1382.32720677
712.579092146,1638.64604739,152.508433005,1409.28386804,263.709264849,197.977156066,1382.32720677
452.741148492,2252.39644881,487.759117005,1065.58455087,79.7645996349,314.534598186,1460.51313356
470.460033894,2368.50038696,609.02572475,978.916233134,160.598547767,273.239641402,1345.66201131
1200.23954975,2751.45692488,3879.54910742,1244.93740721,280.946048638,416.386820012,1849.01734967
1575.14250594,2919.41664688,3870.56886814,1525.66063098,301.339443259,181.218793434,1534.10976683
1575.14250594,2919.41664688,3870.56886814,1525.66063098,301.339443259,181.218793434,1534.10976683
3271.11653371,50.20315758,1388.55701088,2526.6189859,40.94044449,246.008441746,2511.86765581
3534.36844883,1151.12898628,1112.71331028,3544.86138379,319.177234616,341.041769067,3823.312606
2828.84559548,2824.14885463,2987.62627414,1732.30893758,203.729750035,328.237417654,3670.96702247
1142.36490544,1377.69952908,838.523799371,1679.61150168,160.288117351,474.517457748,433.949572509
330.796928813,1174.56806425,2430.6317667,518.855053899,172.017065294,17.7163064375,1037.87645203
330.796928813,1174.56806425,2430.6317667,518.855053899,172.017065294,17.7163064375,1037.87645203
317.136916772,1323.04735998,2190.82098735,119.630613391,116.842351273,54.6508343496,239.266594129
317.136916772,1323.04735998,2190.82098735,119.630613391,116.842351273,54.6508343496,239.266594129
321.585865912,981.342054386,1726.86676208,386.849761492,212.944955501,203.774734463,366.029946371
321.585865912,981.342054386,1726.86676208,386.849761492,212.944955501,203.774734463,366.029946371
321.585865912,981.342054386,1726.86676208,386.849761492,212.944955501,203.774734463,366.029946371
1698.42823311,2212.89929682,1461.99764786,1764.17941224,136.008645746,434.200809391,1984.85822964
1852.00432684,2357.39438581,1443.87581957,1914.28322091,244.652326982,542.982565816,2138.71800855
2033.98234639,2523.71764157,1443.53964614,2092.78762123,294.674223325,694.439886801,2320.96551222
263.838563505,946.293701896,1830.54606665,169.27527007,29.7907811313,18.8082845212,280.279916681
263.838563505,946.293701896,1830.54606665,169.27527007,29.7907811313,18.8082845212,280.279916681
502.085461145,782.801203663,1113.33926284,689.758239272,184.639872202,397.492572365,384.132060192
502.085461145,782.801203663,1113.33926284,689.758239272,184.639872202,397.492572365,384.132060192
171.202771526,616.270471699,715.461185818,769.770865589,291.458364508,274.302058554,642.303418129
239.482233485,762.803935368,160.526750951,1141.57826901,127.732891908,152.929733701,940.446059403
3221.37245312,116.887841534,1326.48130394,2594.97019711,78.8714061401,244.293726721,2565.69820239
1044.30120334,284.131809484,1093.72924799,1210.15715837,97.5304848099,767.631652988,482.410034948
1328.55921389,1091.84454886,785.830642686,1463.7442327,40.4060912658,349.56309457,371.766122265
3293.30255999,368.103737171,1042.01464485,2976.2391342,275.942028795,384.281109306,2852.05658555
3293.30255999,368.103737171,1042.01464485,2976.2391342,275.942028795,384.281109306,2852.05658555
48.9968136544,294.544237241,149.645659124,158.251195256,222.424951224,305.482584054,233.018425123
192.091916776,1431.5234254,576.000021756,78.1566629954,265.834130496,168.758420866,457.367067819
316.423441525,847.545224757,1849.8244055,257.676659343,166.44816292,139.873459768,309.637652848
413.464681089,556.25255542,2005.3331041,94.1100412496,127.713877791,126.45949407,390.232967388
720.718065197,1683.36115335,3635.24851256,758.240228723,188.453118912,111.856630263,1455.73401709
2866.33539279,1578.622124,1426.59812003,1442.6464554,129.920659889,227.333516697,1574.09565232
2866.33539279,1578.622124,1426.59812003,1442.6464554,129.920659889,227.333516697,1574.09565232
