id_univ,nombre,domicilio,tipo,sigla,domic_2,cp,telef,fax,web_univer,web_facult,unidad_aca,lon,lat,,,,
95,Instituto Universitario ISEDET,282 CAMACUA,IP,ISEDET,Camacuá 282,1406,4632-5030/5039/4361-0882,4633-2825,www.isedet.edu.ar,,Rectorado,-58.4570126725,-34.630822556,,,,
80,Instituto Universitario de la Policía Federal Argentina,3378 CAVIA,IN,IUPFA,Cavia 3378,1425,4809-6162/ 4809-6161,,www.universidad-policial.edu.a,,Centro de Educación a Distancia Universitaria,-58.4040594597,-34.5734034774,,,,
1,Universidad de Buenos Aires,280 CHORROARIN,UN,UBA,Chorroarín 280,1427,4524-8400(R)4524-8402/4514-8952,4514-8968,www.uba.ar,www.fvet.uba.ar,Facultad de Ciencias Veterinarias,-58.4776921498,-34.5949775013,,,,
1,Universidad de Buenos Aires,CIUDAD UNIVERSITARIA - PABELLON II -  NUÑEZ,UN,UBA,Ciudad Universitaria - Pabellón II -  Nuñez,1428,4576-3332/3/3300/09,4576-3351,www.uba.ar,www.fcen.uba.ar,Facultad de Ciencias Exactas y Naturales,-58.4428409098,-34.542278668,,,,
1,Universidad de Buenos Aires,CIUDAD UNIVERSITARIA PABELLON III - NUÑEZ,UN,UBA,Ciudad Universitaria Pabellón III - Nuñez,1428,4789-6201/4789-6210   (R)4789-6200,4576-3205,www.uba.ar,www.fadu.uba.ar,Facultad de Arquitectura,-58.4441846757,-34.541636483,,,,
81,Instituto Universitario Aeronáutico,250 ZANNI,IN,IUA,Comodoro Pedro Luis Zanni 250,1004,4317-6464,4317-6464,,,Escuela Superior de Guerra Aérea,-58.3703099905,-34.5845140389,,,,
39,Pontificia Universidad Católica Argentina,4422 CONCORDIA,UP,UCA,Concordia 4422,1419,4501-6428/6748,4501-6748,,,Facultad de Teología,-58.5084549132,-34.5933156288,,,,
55,Universidad del Norte Santo Tomás de Aquino,422 DEFENSA,UP,,Defensa 422,1065,4345-4817,4345-4817,,,Facultad de Filosofía -Sede en Buenos Aires,-58.3717577612,-34.6127782739,,,,
19,Universidad Nacional de Luján,871 ECUADOR,UN,UNLU,Ecuador 871,1214,4962-7045/7026,4961-3268,www.unlu.edu.ar,,Sede Ciudad de Buenos Aires,-58.4062219486,-34.5999955988,,,,
52,Universidad de Morón,321 ESMERALDA,UP,UNIMORON,Esmeralda 321,1035,4326-4860,,,,Anexo Académico Escuela Argentina de Negocios,-58.3778598145,-34.604465459,,,,
84,Instituto Universitario Nacional del Arte,3614 FRENCH,IN,IUNA,French 3614,1425,4804-9743/48042352,,www.iuna.edu.ar,,"Departamento de Arte Dramáticas ""Antonio Cunill Cabanellas""",-58.4117182292,-34.5832411956,,,,
1,Universidad de Buenos Aires,3870 HABANA,UN,UBA,Habana 3870,1419,4580-2825/2826,4504-7712/580-2829,www.uba.ar,,"Sede ""Devoto""",-58.5121700464,-34.5972769613,,,,
1,Universidad de Buenos Aires,3238 YRIGOYEN HIPOLITO,UN,UBA,Hipólito Irigoyen 3238/46,1407,4931-9956/4957-5877 (R) 4931-6900,4956-1218,www.uba.ar,www.psi.uba.ar,Facultad de Psicología,-58.4122132286,-34.6123117714,,,,
1,Universidad de Buenos Aires,2614 HOLMBERG,UN,UBA,Holmberg 2614,1430,4576-9852 al 55,,www.uba.ar,,"Sede ""Doctor Leónidas Anastasi"" (Drago)",-58.4783170278,-34.5678888147,,,,
64,Universidad de Palermo,932 JEAN JAURES,UP,UP,Jean Jaures 932/6,1175,4962-4647/5199 -4500,4963-1560,www.palermo.edu,,Facultad de Arquitectura,-58.4072552436,-34.5990805244,,,,
52,Universidad de Morón,1022 URIBURU,UP,UNIMORON,José Evaristo Uriburu 1022/1045,1114,4821-2616/4822-6824,,,,Anexo Académico Barrio Norte,-58.3989741676,-34.5966534589,,,,
56,Universidad del Salvador,1063 JUNIN,UP,USAL,Junin 1063,1113,4825-8622,4825-8622,www.salvador.edu.ar,,Escuela de Arte y Arquitectura,-58.3972569375,-34.5962078819,,,,
1,Universidad de Buenos Aires,954 JUNIN,UN,UBA,Junín 954,1113,4964-8222/4508-3644/4964-8224/8200,4508-3648,www.uba.ar,www.ffyb.uba.ar,Facultad de Farmacia y Bioquímica,-58.3976782096,-34.5978455056,,,,
45,Universidad Católica de La Plata,1254 LARREA,UP,UCLP,Larrea Nº 1254,1117,4826-7026,,,,Sede Buenos Aires,-58.4004427329,-34.5927370196,,,,
49,Universidad de Belgrano,485 LAVALLE,UP,UB,Lavalle 485,1047,4393-5588/8459/8491,,www.ub.edu.ar,,Departamento de Posgrado y Educación Continua,-58.3736953057,-34.6019828778,,,,
82,Instituto de Enseñanza Superior del Ejército,480 LUIS MARIA CAMPOS,IN,IESE,Luis María Campos 480,1426,4576-3692/93,4576-5592,,www.escuelasuperiordeguerra.iese.edu,"Escuela Superior De Guerra ""Teniente General Luís Maria Campos""",-58.4341033492,-34.5728867726,,,,
56,Universidad del Salvador,1335 MARCELO T. DE ALVEAR,UP,USAL,Marcelo T. de Alvear  1335/37,1058,4811-1279/4813-5622/3408,4811-1279,www.salvador.edu.ar,,Facultad de Ciencias Económicas,-58.3861794737,-34.5968350259,,,,
1,Universidad de Buenos Aires,2142 MARCELO T. DE ALVEAR,UN,UBA,Marcelo T. de Alvear 2142,1122,4508-3956/4964-1238/1239 (R)4964-1200,4508-3958,www.uba.ar,www.odon.uba.ar,Facultad de Odontología,-58.3980982538,-34.5973328301,,,,
1,Universidad de Buenos Aires,2230 MARCELO T. DE ALVEAR,UN,UBA,Marcelo T. de Alvear 2230,1122,4508-3813/3814 /3800/3804/3805/3806/3807,4508-3818,www.uba.ar,www.fsoc.uba.ar,Facultad de Ciencias Sociales,-58.3993169648,-34.5971490317,,,,
64,Universidad de Palermo,1259 MARIO BRAVO,UP,UP,Mario Bravo 1259,1175,5199-4500,4963-1560,www.palermo.edu,,Facultad de Ciencias Sociales,-58.4145598863,-34.595028079,,,,
96,Instituto Universitario de Salud Mental de la Asociación Psicoanalitica de Buenos A,1850 MAURE,IP,APdeBA,Maure 1850,1426,4775-7867/7985/4779-0512,4775-7867,www.iusam.edu.ar,,Rectorado,-58.436883073,-34.5680136431,,,,
38,Universidad Tecnológica Nacional,951 MEDRANO,UN,UTN,Medrano 951,1179,4862-1374/1881/4867-7521/7500,4867-7575,www.utn.edu.ar,www.frba.utn.edu.ar,Facultad Regional Buenos Aires,-58.420072184,-34.5985961508,,,,
79,Universidad Abierta Interamericana,2759 MONTAÑESES,UP,UAI,Montañeses 2759,1428,4788-2925/4787-9786/4788-2925,4780-3335,www.uai.edu.ar,,Localización Belgrano,-58.4537569913,-34.5514223931,,,,
79,Universidad Abierta Interamericana,745 MONTES DE OCA,UP,UAI,Montes de Oca 745,,4301-5240/5248/5398,,www.uai.edu.ar,,Localización Centro Anexo Cisneros,-58.3752453539,-34.6366911479,,,,
