52;Universidad de Morón;784 BARTOLOME MITRE;UP;UNIMORON;Bartolomé Mitre 784 1º piso;1036;5031-3333;;;;Anexo Cámara Inmobiliaria Argentina;-58.377561290290124;-34.607151105769795
82;Instituto de Enseñanza Superior del Ejército;15 CABILDO;IN;IESE;Cabildo 15;1426;4779-3384/3302;4779-3384;;www.iese.edu.ar;"Escuela Superior Técnica ""General de División Manuel Nicolás Savio""";-58.435544733025189;-34.574670661315501
95;Instituto Universitario ISEDET;252 CAMACUA;IP;ISEDET;Camacua 252;1406;4632-5030/5039/4361-0882;4633-2825;www.isedet.edu.ar;;Facultad de Teología;-58.457164966606584;-34.630481382622989
95;Instituto Universitario ISEDET;282 CAMACUA;IP;ISEDET;Camacuá 282;1406;4632-5030/5039/4361-0882;4633-2825;www.isedet.edu.ar;;Rectorado;-58.457012672525053;-34.630822555958325
80;Instituto Universitario de la Policía Federal Argentina;3378 CAVIA;IN;IUPFA;Cavia 3378;1425;4809-6162/ 4809-6161;;www.universidad-policial.edu.a;;Centro de Educación a Distancia Universitaria;-58.404059459668822;-34.573403477361687
1;Universidad de Buenos Aires;280 CHORROARIN;UN;UBA;Chorroarín 280;1427;4524-8400(R)4524-8402/4514-8952;4514-8968;www.uba.ar;www.fvet.uba.ar;Facultad de Ciencias Veterinarias;-58.47769214975748;-34.594977501300157
1;Universidad de Buenos Aires;CIUDAD UNIVERSITARIA - PABELLON II -  NUÑEZ;UN;UBA;Ciudad Universitaria - Pabellón II -  Nuñez;1428;4576-3332/3/3300/09;4576-3351;www.uba.ar;www.fcen.uba.ar;Facultad de Ciencias Exactas y Naturales;-58.442840909759141;-34.542278668011221
1;Universidad de Buenos Aires;CIUDAD UNIVERSITARIA PABELLON III - NUÑEZ;UN;UBA;Ciudad Universitaria Pabellón III - Nuñez;1428;4789-6201/4789-6210   (R)4789-6200;4576-3205;www.uba.ar;www.fadu.uba.ar;Facultad de Arquitectura, Diseño y Urbanismo;-58.444184675686074;-34.541636483008659
81;Instituto Universitario Aeronáutico;250 ZANNI;IN;IUA;Comodoro Pedro Luis Zanni 250;1004;4317-6464;4317-6464;;;Escuela Superior de Guerra Aérea;-58.370309990491577;-34.584514038937222
39;Pontificia Universidad Católica Argentina;4422 CONCORDIA;UP;UCA;Concordia 4422;1419;4501-6428/6748;4501-6748;;;Facultad de Teología;-58.508454913207089;-34.593315628783046
55;Universidad del Norte Santo Tomás de Aquino;422 DEFENSA;UP;;Defensa 422;1065;4345-4817;4345-4817;;;Facultad de Filosofía -Sede en Buenos Aires;-58.371757761159706;-34.612778273878561
19;Universidad Nacional de Luján;871 ECUADOR;UN;UNLU;Ecuador 871;1214;4962-7045/7026;4961-3268;www.unlu.edu.ar;;Sede Ciudad de Buenos Aires;-58.406221948620981;-34.599995598829715
52;Universidad de Morón;321 ESMERALDA;UP;UNIMORON;Esmeralda 321;1035;4326-4860;;;;Anexo Académico Escuela Argentina de Negocios;-58.377859814522232;-34.60446545900605
84;Instituto Universitario Nacional del Arte;3614 FRENCH;IN;IUNA;French 3614;1425;4804-9743/48042352;;www.iuna.edu.ar;;"Departamento de Arte Dramáticas ""Antonio Cunill Cabanellas""";-58.411718229226764;-34.583241195601111
1;Universidad de Buenos Aires;3870 HABANA;UN;UBA;Habana 3870;1419;4580-2825/2826;4504-7712/580-2829;www.uba.ar;;"Sede ""Devoto""";-58.512170046416017;-34.597276961344114
1;Universidad de Buenos Aires;3238 YRIGOYEN HIPOLITO;UN;UBA;Hipólito Irigoyen 3238/46;1407;4931-9956/4957-5877 (R) 4931-6900;4956-1218;www.uba.ar;www.psi.uba.ar;Facultad de Psicología;-58.412213228627266;-34.612311771376717
1;Universidad de Buenos Aires;2614 HOLMBERG;UN;UBA;Holmberg 2614;1430;4576-9852 al 55;;www.uba.ar;;"Sede ""Doctor Leónidas Anastasi"" (Drago)";-58.478317027820971;-34.567888814714841
